time	I(L1)
0.000000000000000e+00	0.000000e+00
9.765625114122045e-11	-5.218259e-12
3.906250045648818e-10	-5.218265e-12
7.812500091297636e-10	6.230130e-12
1.562500018259527e-09	1.818029e-13
2.500000029215244e-08	-1.743195e-13
3.816490552859212e-08	5.906358e-05
5.038647817690542e-08	2.702891e-04
6.671240887930775e-08	8.502629e-04
9.936427028411244e-08	3.096503e-03
1.646679930937218e-07	1.185082e-02
2.606548945968166e-07	3.512806e-02
3.978748109934505e-07	8.992781e-02
5.000000000000001e-07	1.470249e-01
5.306375567019650e-07	1.661993e-01
5.714876323045849e-07	1.916611e-01
6.531877835098246e-07	2.422064e-01
8.165880859203040e-07	3.417733e-01
1.143388690741263e-06	5.347891e-01
1.796989900383180e-06	8.962345e-01
3.104192319667016e-06	1.521071e+00
5.529624384065314e-06	2.350108e+00
8.711040325287290e-06	2.869187e+00
1.325996250321634e-05	2.796585e+00
1.908006895348270e-05	1.950191e+00
2.819592209696082e-05	3.515069e-01
3.330000000000000e-05	-4.148556e-11
3.332999999999999e-05	-4.684431e-11
3.339000000000000e-05	-1.022999e-02
3.351000000000000e-05	-5.246558e-02
3.360000000000000e-05	-1.006674e-01
3.360199999999999e-05	-1.020189e-01
3.360600000000000e-05	-1.049952e-01
3.361400000000000e-05	-1.123971e-01
3.362000000000000e-05	-1.192244e-01
3.362060000000000e-05	-1.199623e-01
3.362180000000000e-05	-1.214394e-01
3.362420000000000e-05	-1.243941e-01
3.362900000000000e-05	-1.303175e-01
3.363860000000000e-05	-1.422535e-01
3.365780000000000e-05	-1.665085e-01
3.369620000000000e-05	-2.164055e-01
3.377299999999999e-05	-3.216523e-01
3.379999999999999e-05	-3.603784e-01
3.380269999999999e-05	-3.642947e-01
3.390067142857144e-05	-5.056014e-01
3.399864285714289e-05	-6.452907e-01
3.409661428571434e-05	-7.833625e-01
3.419458571428578e-05	-9.198170e-01
3.429255714285723e-05	-1.054654e+00
3.439052857142867e-05	-1.187874e+00
3.448850000000012e-05	-1.319476e+00
3.517970000000025e-05	-2.201456e+00
3.656210000000050e-05	-3.722292e+00
3.932690000000101e-05	-5.843667e+00
4.329816110606302e-05	-7.084970e+00
4.873317880427648e-05	-6.452096e+00
5.489720968401238e-05	-4.140367e+00
6.318859905534902e-05	-7.654538e-01
6.667000000000000e-05	5.380249e-11
6.669299999999999e-05	8.241585e-11
6.673900000000000e-05	1.263021e-02
6.683100000000000e-05	5.578180e-02
6.690000000000000e-05	9.965573e-02
6.690200000000000e-05	1.012120e-01
6.690600000000000e-05	1.046545e-01
6.691400000000000e-05	1.129472e-01
6.692000000000000e-05	1.204178e-01
6.692060000000000e-05	1.212207e-01
6.692180000000001e-05	1.228275e-01
6.692420000000001e-05	1.260482e-01
6.692900000000001e-05	1.325085e-01
6.693860000000000e-05	1.455134e-01
6.695780000000000e-05	1.718798e-01
6.699620000000001e-05	2.259868e-01
6.707300000000000e-05	3.396437e-01
6.717000000000000e-05	4.934300e-01
6.717970000000000e-05	5.093632e-01
6.719910000000000e-05	5.411887e-01
6.747069999999998e-05	9.796104e-01
6.778109999999997e-05	1.464116e+00
6.840189999999995e-05	2.379799e+00
6.964349999999990e-05	3.997905e+00
7.212669999999978e-05	6.415512e+00
7.657767681442390e-05	8.442712e+00
8.150873177944488e-05	8.188898e+00
8.796131105281739e-05	5.799644e+00
9.591173137621427e-05	2.083011e+00
9.996999999999999e-05	3.065958e-01
9.999999999999999e-05	2.938008e-01
1.000600000000000e-04	2.651256e-01
1.001800000000000e-04	1.922404e-01
1.002700000000000e-04	1.233179e-01
1.002720000000000e-04	1.215272e-01
1.002760000000000e-04	1.176725e-01
1.002840000000000e-04	1.085144e-01
1.002900000000000e-04	9.711072e-02
1.002906000000000e-04	9.577326e-02
1.002918000000000e-04	9.309577e-02
1.002942000000000e-04	8.773423e-02
1.002990000000000e-04	7.700585e-02
1.003086000000000e-04	5.556136e-02
1.003278000000000e-04	1.275513e-02
1.003662000000000e-04	-7.248574e-02
1.004430000000000e-04	-2.156251e-01
1.004700000000000e-04	-2.613366e-01
1.004727000000000e-04	-2.658010e-01
1.004781000000000e-04	-2.747415e-01
1.004889000000000e-04	-2.926196e-01
1.005105000000000e-04	-3.283271e-01
1.005537000000000e-04	-3.994965e-01
1.006401000000000e-04	-5.408353e-01
1.008129000000000e-04	-8.194761e-01
1.011585000000001e-04	-1.360533e+00
1.018497000000002e-04	-2.377540e+00
1.032321000000005e-04	-4.152931e+00
1.059969000000010e-04	-6.727993e+00
1.110481289820361e-04	-8.709028e+00
1.164957412950187e-04	-8.134191e+00
1.234828355608926e-04	-5.433186e+00
1.321933919301592e-04	-1.527096e+00
1.333400000000000e-04	-1.006032e+00
1.333630000000000e-04	-9.955781e-01
1.334090000000000e-04	-9.733216e-01
1.335010000000000e-04	-9.200051e-01
1.335700000000000e-04	-8.716550e-01
1.335720000000000e-04	-8.700079e-01
1.335760000000000e-04	-8.663840e-01
1.335840000000000e-04	-8.577279e-01
1.335900000000000e-04	-8.499687e-01
1.335906000000000e-04	-8.486126e-01
1.335918000000000e-04	-8.458965e-01
1.335942000000000e-04	-8.404556e-01
1.335990000000000e-04	-8.295671e-01
1.336085999999999e-04	-8.077978e-01
1.336277999999999e-04	-7.643234e-01
1.336661999999998e-04	-6.776738e-01
1.337429999999996e-04	-5.056322e-01
1.338400000000000e-04	-2.907958e-01
1.338497000000000e-04	-2.694823e-01
1.338691000000001e-04	-2.268990e-01
1.339079000000003e-04	-1.419577e-01
1.339855000000006e-04	2.695511e-02
1.341407000000012e-04	3.607737e-01
1.344511000000025e-04	1.011997e+00
1.350719000000050e-04	2.247017e+00
1.363135000000099e-04	4.442180e+00
1.387967000000199e-04	7.765658e+00
1.437110718451510e-04	1.085383e+01
1.486680784689162e-04	1.058815e+01
1.552364222679058e-04	7.587263e+00
1.638201116065497e-04	2.640657e+00
1.666400000000000e-04	1.046590e+00
1.666700000000000e-04	1.029726e+00
1.667300000000000e-04	9.740463e-01
1.668500000000000e-04	8.321732e-01
1.669400000000000e-04	7.066282e-01
1.669420000000000e-04	7.035334e-01
1.669460000000000e-04	6.970713e-01
1.669540000000000e-04	6.827012e-01
1.669600000000000e-04	6.673866e-01
1.669606000000000e-04	6.656579e-01
1.669618000000000e-04	6.621982e-01
1.669642000000000e-04	6.552724e-01
1.669690000000000e-04	6.414200e-01
1.669785999999999e-04	6.137348e-01
1.669977999999999e-04	5.584682e-01
1.670361999999998e-04	4.483833e-01
1.671129999999996e-04	2.299240e-01
1.671400000000000e-04	1.536490e-01
1.671427000000000e-04	1.460380e-01
1.671481000000001e-04	1.308211e-01
1.671589000000003e-04	1.004141e-01
1.671805000000006e-04	3.971425e-02
1.672237000000011e-04	-6.753496e-02
1.673101000000023e-04	-2.692855e-01
1.674829000000047e-04	-6.581371e-01
1.678285000000095e-04	-1.407394e+00
1.685197000000189e-04	-2.811936e+00
1.699021000000379e-04	-5.257726e+00
1.726669000000759e-04	-8.801233e+00
1.779994077645082e-04	-1.160935e+01
1.833477304125390e-04	-1.078942e+01
1.903836220609872e-04	-7.160405e+00
1.989844176270720e-04	-2.085612e+00
2.000100000000000e-04	-1.473415e+00
2.000330000000000e-04	-1.459688e+00
2.000790000000000e-04	-1.430911e+00
2.001710000000000e-04	-1.364620e+00
2.002400000000000e-04	-1.306591e+00
2.002420000000000e-04	-1.304664e+00
2.002460000000000e-04	-1.300481e+00
2.002540000000000e-04	-1.290706e+00
2.002547500000000e-04	-1.289677e+00
2.002562500000000e-04	-1.287564e+00
2.002592500000000e-04	-1.281554e+00
2.002600000000000e-04	-1.279801e+00
2.002600750000000e-04	-1.279621e+00
2.002602250000000e-04	-1.279261e+00
2.002605250000000e-04	-1.278540e+00
2.002611250000000e-04	-1.277100e+00
2.002623249999999e-04	-1.274222e+00
2.002647249999999e-04	-1.268462e+00
2.002695249999998e-04	-1.256934e+00
2.002791249999996e-04	-1.233864e+00
2.002983249999992e-04	-1.187740e+00
2.003367249999984e-04	-1.095719e+00
2.004135249999969e-04	-9.127427e-01
2.005100000000000e-04	-6.850007e-01
2.005196475000003e-04	-6.623737e-01
2.005389425000009e-04	-6.171978e-01
2.005775325000022e-04	-5.272352e-01
2.006547125000047e-04	-3.486379e-01
2.008090725000097e-04	-9.600853e-11
2.011177925000198e-04	5.884984e-01
2.017352325000398e-04	1.630296e+00
2.029701125000800e-04	3.435994e+00
2.054398725001603e-04	6.182825e+00
2.103793925003209e-04	8.965775e+00
2.158919342481863e-04	9.078844e+00
