time	I(L1)
0.000000000000000e+00	0.000000e+00
9.765625114122045e-11	-5.218259e-12
3.906250045648818e-10	-5.218265e-12
7.812500091297636e-10	6.230129e-12
1.562500018259527e-09	1.818034e-13
2.500000029215244e-08	-1.743203e-13
3.816486195663788e-08	4.892742e-05
5.038635780545823e-08	2.239077e-04
6.671235909347981e-08	7.044245e-04
9.936436166952298e-08	2.566047e-03
1.646683668216093e-07	9.825157e-03
2.659001658745736e-07	3.049060e-02
4.082091822816696e-07	7.893040e-02
5.000000000000001e-07	1.221454e-01
5.091790817718331e-07	1.269325e-01
5.275372453154992e-07	1.364959e-01
5.642535724028314e-07	1.555717e-01
6.376862265774958e-07	1.935123e-01
7.845515349268245e-07	2.685416e-01
1.078282151625482e-06	4.151689e-01
1.665743385022797e-06	6.945310e-01
2.840665851817427e-06	1.196820e+00
5.190510785406687e-06	1.977193e+00
8.339647178674928e-06	2.587537e+00
1.286734153275528e-05	2.760889e+00
1.861286102939495e-05	2.211437e+00
2.702721231160830e-05	8.598827e-01
3.330000000000000e-05	-2.138912e-11
3.332999999999999e-05	-4.824763e-11
3.339000000000000e-05	-8.682054e-03
3.351000000000000e-05	-4.428745e-02
3.360000000000000e-05	-8.479244e-02
3.360199999999999e-05	-8.592585e-02
3.360600000000000e-05	-8.841914e-02
3.361400000000000e-05	-9.460673e-02
3.362000000000000e-05	-1.003049e-01
3.362060000000000e-05	-1.009204e-01
3.362180000000000e-05	-1.021527e-01
3.362420000000000e-05	-1.046211e-01
3.362900000000000e-05	-1.095760e-01
3.363860000000000e-05	-1.195606e-01
3.365780000000000e-05	-1.397708e-01
3.369620000000000e-05	-1.812676e-01
3.377299999999999e-05	-2.688781e-01
3.379999999999999e-05	-3.011965e-01
3.380269999999999e-05	-3.044699e-01
3.380809999999999e-05	-3.110143e-01
3.381890000000000e-05	-3.240949e-01
3.384050000000000e-05	-3.502165e-01
3.388370000000001e-05	-4.023004e-01
3.397010000000002e-05	-5.058201e-01
3.414290000000006e-05	-7.102500e-01
3.448850000000012e-05	-1.108575e+00
3.517970000000025e-05	-1.862450e+00
3.656210000000050e-05	-3.196372e+00
3.932690000000101e-05	-5.181183e+00
4.365970137780616e-05	-6.672184e+00
4.917215606110221e-05	-6.447768e+00
5.579257960910602e-05	-4.430224e+00
6.526265752771557e-05	-8.521180e-01
6.667000000000000e-05	-3.043910e-01
6.669299999999999e-05	-2.954215e-01
6.673900000000000e-05	-2.763384e-01
6.683100000000000e-05	-2.308585e-01
6.690000000000000e-05	-1.898085e-01
6.690200000000000e-05	-1.884151e-01
6.690600000000000e-05	-1.853549e-01
6.691400000000000e-05	-1.780681e-01
6.692000000000000e-05	-1.715553e-01
6.692060000000000e-05	-1.704236e-01
6.692180000000001e-05	-1.681571e-01
6.692420000000001e-05	-1.636168e-01
6.692900000000001e-05	-1.545282e-01
6.693860000000000e-05	-1.363565e-01
6.695780000000000e-05	-1.000712e-01
6.699620000000001e-05	-2.777353e-02
6.707300000000000e-05	1.156557e-01
6.717000000000000e-05	2.677180e-01
6.717970000000000e-05	2.813019e-01
6.719910000000000e-05	3.085035e-01
6.723790000000000e-05	3.628497e-01
6.731550000000000e-05	4.710324e-01
6.747069999999998e-05	6.851372e-01
6.778109999999997e-05	1.103998e+00
6.840189999999995e-05	1.903704e+00
6.964349999999990e-05	3.348853e+00
7.212669999999978e-05	5.628538e+00
7.709309999999958e-05	8.027324e+00
8.234454105867388e-05	8.135838e+00
8.937989742462497e-05	6.019745e+00
9.775010275823209e-05	2.349858e+00
9.996999999999999e-05	1.303062e+00
9.999999999999999e-05	1.288726e+00
1.000600000000000e-04	1.257660e+00
1.001800000000000e-04	1.182480e+00
1.002700000000000e-04	1.114156e+00
1.002720000000000e-04	1.112422e+00
1.002760000000000e-04	1.108728e+00
1.002840000000000e-04	1.100138e+00
1.002900000000000e-04	1.089934e+00
1.002906000000000e-04	1.088750e+00
1.002918000000000e-04	1.086380e+00
1.002942000000000e-04	1.081634e+00
1.002990000000000e-04	1.072140e+00
1.003086000000000e-04	1.053160e+00
1.003278000000000e-04	1.015251e+00
1.003662000000000e-04	9.396673e-01
1.004430000000000e-04	7.894836e-01
1.004700000000000e-04	7.370082e-01
1.004727000000000e-04	7.317721e-01
1.004781000000000e-04	7.213032e-01
1.004889000000000e-04	7.003832e-01
1.005105000000000e-04	6.585848e-01
1.005537000000000e-04	5.751465e-01
1.006401000000000e-04	4.089896e-01
1.008129000000000e-04	7.992124e-02
1.011585000000001e-04	-5.639731e-01
1.018497000000002e-04	-1.790946e+00
1.032321000000005e-04	-3.993583e+00
1.059969000000010e-04	-7.398783e+00
1.112043772346773e-04	-1.063359e+01
1.165327296564593e-04	-1.065146e+01
1.236205323361330e-04	-6.595466e+00
1.314835371405028e-04	-1.375513e+00
1.333400000000000e-04	-2.061070e-01
1.333630000000000e-04	-1.918227e-01
1.334090000000000e-04	-1.621482e-01
1.335010000000000e-04	-9.563895e-02
1.335700000000000e-04	-3.895077e-02
1.335720000000000e-04	-3.710581e-02
1.335760000000000e-04	-3.314285e-02
1.335840000000000e-04	-2.405147e-02
1.335900000000000e-04	-1.619697e-02
1.335906000000000e-04	-1.493076e-02
1.335918000000000e-04	-1.239536e-02
1.335942000000000e-04	-7.317323e-03
1.335990000000000e-04	2.848402e-03
1.336085999999999e-04	2.317994e-02
1.336277999999999e-04	6.379546e-02
1.336661999999998e-04	1.447864e-01
1.337429999999996e-04	3.057439e-01
1.338400000000000e-04	5.070294e-01
1.338497000000000e-04	5.270177e-01
1.338691000000001e-04	5.618615e-01
1.339079000000003e-04	6.271152e-01
1.339855000000006e-04	7.536719e-01
1.341407000000012e-04	1.001424e+00
1.344511000000025e-04	1.484361e+00
1.350719000000050e-04	2.404928e+00
1.363135000000099e-04	4.066397e+00
1.387967000000199e-04	6.693589e+00
1.437631000000398e-04	9.529069e+00
1.494680202987062e-04	9.771415e+00
1.567173508948000e-04	7.368599e+00
1.655595313824413e-04	2.984691e+00
1.666400000000000e-04	2.376730e+00
1.666700000000000e-04	2.359647e+00
1.667300000000000e-04	2.323114e+00
1.668500000000000e-04	2.237002e+00
1.669400000000000e-04	2.160466e+00
1.669420000000000e-04	2.158550e+00
1.669460000000000e-04	2.154490e+00
1.669540000000000e-04	2.145170e+00
1.669600000000000e-04	2.134416e+00
1.669606000000000e-04	2.133177e+00
1.669618000000000e-04	2.130697e+00
1.669642000000000e-04	2.125731e+00
1.669690000000000e-04	2.115798e+00
1.669785999999999e-04	2.095942e+00
1.669977999999999e-04	2.056290e+00
1.670361999999998e-04	1.977255e+00
1.671129999999996e-04	1.820144e+00
1.671400000000000e-04	1.765216e+00
1.671427000000000e-04	1.759732e+00
1.671481000000001e-04	1.748768e+00
1.671589000000003e-04	1.726854e+00
1.671805000000006e-04	1.683081e+00
1.672237000000011e-04	1.595761e+00
1.673101000000023e-04	1.422029e+00
1.674829000000047e-04	1.078227e+00
1.678285000000095e-04	4.054867e-01
1.685197000000189e-04	-7.044417e-01
1.699021000000379e-04	-2.574673e+00
1.723532521303712e-04	-5.159836e+00
1.772555563910378e-04	-8.164963e+00
1.829059635961161e-04	-8.909184e+00
1.904125667535681e-04	-7.182528e+00
1.990610865622128e-04	-3.564229e+00
2.000100000000000e-04	-3.086404e+00
2.000330000000000e-04	-3.074633e+00
2.000790000000000e-04	-3.050007e+00
2.001710000000000e-04	-2.993422e+00
2.002400000000000e-04	-2.943990e+00
2.002420000000000e-04	-2.942353e+00
2.002460000000000e-04	-2.938805e+00
2.002540000000000e-04	-2.930543e+00
2.002547500000000e-04	-2.929676e+00
2.002562500000000e-04	-2.927894e+00
2.002592500000000e-04	-2.922852e+00
2.002600000000000e-04	-2.921384e+00
2.002600750000000e-04	-2.921233e+00
2.002602250000000e-04	-2.920931e+00
2.002605250000000e-04	-2.920328e+00
2.002611250000000e-04	-2.919123e+00
2.002623249999999e-04	-2.916713e+00
2.002647249999999e-04	-2.911890e+00
2.002695249999998e-04	-2.902236e+00
2.002791249999996e-04	-2.882915e+00
2.002983249999992e-04	-2.844278e+00
2.003367249999984e-04	-2.767142e+00
2.004135249999969e-04	-2.613545e+00
2.005100000000000e-04	-2.421949e+00
2.005196475000003e-04	-2.402885e+00
2.005389425000009e-04	-2.364811e+00
2.005775325000022e-04	-2.288933e+00
2.006547125000047e-04	-2.138028e+00
2.008090725000097e-04	-1.839083e+00
2.011177925000198e-04	-1.252448e+00
2.017352325000398e-04	-1.250311e-01
2.029701125000800e-04	1.941345e+00
